chartName,category,img,avail,description
lollipop-v,Ranking,lollipop-v.svg,TRUE,Lollipop charts draw more attention to the data value than standard bar/column and can also show rank effectively
bump,Ranking,bump.svg,TRUE,
histogram,Distribution,histogram.svg,TRUE,The standard way to show a statistical distribution - keep the gaps between columns small to highlight the 'shape' of the data.
boxplot,Distribution,boxplot.svg,TRUE,Summarise multiple distributions by showing the median (centre) and range of the data
violin,Distribution,violin.svg,FALSE,Similar to a box plot but more effective with complex distributions (data that cannot be summarised with simple average).
population-pyramis,Distribution,population-pyramis.svg,TRUE,"A standard way for showing the age and sex breakdown of a population distribution; effectively, back to back histograms"
dot-plot-strip,Distribution,dot-plot-strip-distribution.svg,FALSE,"Good for showing individual values in a distribution, can be a problem when too many dots have the same value"
dot-plot,Distribution,dot-plot.svg,TRUE,A simple way of showing the range (min/max) of data across multiple categories.
barcode,Distribution,barcode.svg,FALSE,"Like dot strip plots, good for displaying all the data in a table,they work best when highlighting individual values."
cumulative-curve,Distribution,cumulative-curve.svg,FALSE,"A good way of showing how unequal a distribution is: y axis is always cumulative frequency, x axis is always a measure."
column-stacked,Part to whole,column-stacked.svg,TRUE,A simple way of showing part-to-whole relationships but can be difficult to read with more than a few components.
bar-stacked-proportional,Part to whole,bar-stacked-proportional.svg,TRUE,"A good way of showing the size and proportion of data at the same time, as long as the data are not too complicated. "
pie,Part to whole,pie.svg,TRUE,A common way of showing part-to-whole data - but be aware that it's difficult to accurately compare the size of the segments.
doughnut,Part to whole,doughnut.svg,TRUE,Similar to a pie chart - but the centre can be a good way of making space to include more information about the data (eg. total)
treemap,Part to whole,treemap.svg,TRUE,Use for hierarchical part-to-whole relationships; can be difficult to read when there are many small segments
Voronoi,Part to whole,voronoi.svg,FALSE,A way of turning points into areas - any point within the area is closer to the central point than any other point
sunburst,Part to whole,sunburst.svg,FALSE,Another way of visualisaing hierarchical part-to-whole relationships. Use sparingly (if at all) for obvious reasons.
arc,Part to whole,arc.svg,FALSE,"A hemicycle, often used for visualising political results."
gridplot,Part to whole,gridplot.svg,FALSE,"Good for showing % information, they work best when used on whole numbers and work well in multiple layout form. "
Venn,Part to whole,venn.svg,FALSE,Generally only used for schematic representation
Waterfall,Part to whole,waterfall.svg,TRUE,Can be useful for showing part-to-whole relationships where some of the components are negative.
Column,Magnitude,column-magnitude.svg,TRUE,The standard way to compare the size of things. Must always start at 0 on the axis
Bar,Magnitude,bar-magnitude.svg,TRUE,The standard way to compare the size of things. Must always start at 0 on the axis. Good when the data are not time series and labels have long category names
column-grouped,Magnitude,column-grouped.svg,TRUE,As per standard column but allows for multiple series. Can become tricky to read with more than 2 series
bar-grouped,Magnitude,bar-grouped-magnitude.svg,TRUE,As per standard bar but allows for multiple series. Can become tricky to read with more than 2 series
bar-stacked-proportional,Magnitude,bar-stacked-proportional-magnitude.svg,TRUE,A good way of showing the size and proportion of data at the same time - as long as the data are not too complicated
symbol-proportional,Magnitude,symbol-proportional.svg,FALSE,Use when there are big variations between values and/or seeing fne differences between data is not so important
isotope (pictogram),Magnitude,isotope.svg,FALSE,Excellent solution in some instances - use only with whole numbers (do not slice off an arm to represent a decimal).
lollipop-h,Magnitude,lollipop-h-magnitude.svg,TRUE,Lollipop charts draw more attention to the data value than standard bar/column and can also show rank effectively
lollipop-v,Magnitude,lollipop-v-magnitude.svg,TRUE,Lollipop charts draw more attention to the data value than standard bar/column and can also show rank effectively
Radar,Magnitude,radar.svg,FALSE,A space-efficient way of showing value pf multiple variables -  but make sure they are organised in a way that makes sense to reader.
Bullet,Magnitude,bullet.svg,TRUE,
Parallel coordinates,Magnitude,parallel coordinates.svg,FALSE,"An alternative to radar charts - again, the arrngement of the variables is important. Usually benefits from highlighting values"
basic-choropleth,Spatial,basic-choropleth.svg,FALSE,The standard approach for putting data on a map - should always be rates rather than totals and use a sensible base geography.
proportional-symbol,Spatial,proportional-symbol.svg,FALSE,Use for totals rather than rates  - be wary that small differences in data will be hard to see.
flow,Spatial,flow.svg,FALSE,For showing unambiguous movement across a map
contour,Spatial,contour.svg,FALSE,For showing areas of equal value on a map. Can use deviation colour schemes for showing +/- values
equalised-cartogram,Spatial,equalised-cartogram.svg,FALSE,Converting each unit on a map to a regular and equally-sized shape - good for representing voting regions with equal share.
scaled-cartogram-value,Spatial,scaled-cartogram-value.svg,FALSE,Stretching and shrinking a map so that each area is sized according to a particular value.
dot-density,Spatial,dot-density.svg,FALSE,Used to show the location of individual events/locations - make sure to annotate any patterns the reader should see.
heat-map,Spatial,heat-map.svg,FALSE,Grid-based data values mapped with an intensity colour scale. As choropleth map - but not snapped to an admin/political unit.
sankey,Flow,sankey.svg,TRUE,Shows changes in flows from one condition to at least one other; good for tracing the eventual outcome of a complex process.
waterfall,Flow,waterfall-flow.svg,TRUE,"Designed to show the sequencing of data through a flow process, typically budgets. Can include +/- components"
chord,Flow,chord.svg,FALSE,A complex but powerful diagram which can illustrate 2-way flows (and net winner) in a matrix
네트워크,Flow,network.svg,FALSE,Used for showing the complexity and inter-connectdness of relationships of varying types.
